Clase de población;Características demográficas teletrabajo;Disponibilidad teletrabajo;Total
Personas ocupadas;Edad: De 16 a 24 años;Personas que su trabajo principal le permitiría teletrabajar parcialmente y han teletrabajado;1,4
Personas ocupadas;Edad: De 16 a 24 años;Personas que su trabajo principal le permitiría teletrabajar parcialmente y no han teletrabajado;8,8
Personas ocupadas;Edad: De 16 a 24 años;Personas que su trabajo principal no le permite teletrabajar;77,8
Personas ocupadas;Edad: De 25 a 34 años;Total;3.533.372
Personas ocupadas;Edad: De 25 a 34 años;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente;34,3
Personas ocupadas;Edad: De 25 a 34 años;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y han teletrabajado;17,5
Personas ocupadas;Edad: De 25 a 34 años;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y no han teletrabajado;16,8
Personas ocupadas;Edad: De 25 a 34 años;Personas que su trabajo principal le permitiría teletrabajar totalmente;18,2
Personas ocupadas;Edad: De 25 a 34 años;Personas que su trabajo principal le permitiría teletrabajar totalmente y han teletrabajado;13,3
Personas ocupadas;Edad: De 25 a 34 años;Personas que su trabajo principal le permitiría teletrabajar totalmente y no han teletrabajado;5
Personas ocupadas;Edad: De 25 a 34 años;Personas que su trabajo principal le permitiría teletrabajar parcialmente;16,1
Personas ocupadas;Edad: De 25 a 34 años;Personas que su trabajo principal le permitiría teletrabajar parcialmente y han teletrabajado;4,2
Personas ocupadas;Edad: De 25 a 34 años;Personas que su trabajo principal le permitiría teletrabajar parcialmente y no han teletrabajado;11,9
Personas ocupadas;Edad: De 25 a 34 años;Personas que su trabajo principal no le permite teletrabajar;65,7
Personas ocupadas;Edad: De 35 a 44 años;Total;5.169.899
Personas ocupadas;Edad: De 35 a 44 años;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente;38,6
Personas ocupadas;Edad: De 35 a 44 años;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y han teletrabajado;20,1
Personas ocupadas;Edad: De 35 a 44 años;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y no han teletrabajado;18,5
Personas ocupadas;Edad: De 35 a 44 años;Personas que su trabajo principal le permitiría teletrabajar totalmente;20
Personas ocupadas;Edad: De 35 a 44 años;Personas que su trabajo principal le permitiría teletrabajar totalmente y han teletrabajado;13,9
Personas ocupadas;Edad: De 35 a 44 años;Personas que su trabajo principal le permitiría teletrabajar totalmente y no han teletrabajado;6
Personas ocupadas;Edad: De 35 a 44 años;Personas que su trabajo principal le permitiría teletrabajar parcialmente;18,6
Personas ocupadas;Edad: De 35 a 44 años;Personas que su trabajo principal le permitiría teletrabajar parcialmente y han teletrabajado;6,1
Personas ocupadas;Edad: De 35 a 44 años;Personas que su trabajo principal le permitiría teletrabajar parcialmente y no han teletrabajado;12,5
Personas ocupadas;Edad: De 35 a 44 años;Personas que su trabajo principal no le permite teletrabajar;61,4
Personas ocupadas;Edad: De 45 a 54 años;Total;5.370.403
Personas ocupadas;Edad: De 45 a 54 años;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente;35,3
Personas ocupadas;Edad: De 45 a 54 años;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y han teletrabajado;18
Personas ocupadas;Edad: De 45 a 54 años;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y no han teletrabajado;17,4
Personas ocupadas;Edad: De 45 a 54 años;Personas que su trabajo principal le permitiría teletrabajar totalmente;17,7
Personas ocupadas;Edad: De 45 a 54 años;Personas que su trabajo principal le permitiría teletrabajar totalmente y han teletrabajado;12,1
Personas ocupadas;Edad: De 45 a 54 años;Personas que su trabajo principal le permitiría teletrabajar totalmente y no han teletrabajado;5,6
Personas ocupadas;Edad: De 45 a 54 años;Personas que su trabajo principal le permitiría teletrabajar parcialmente;17,7
Personas ocupadas;Edad: De 45 a 54 años;Personas que su trabajo principal le permitiría teletrabajar parcialmente y han teletrabajado;5,9
Personas ocupadas;Edad: De 45 a 54 años;Personas que su trabajo principal le permitiría teletrabajar parcialmente y no han teletrabajado;11,8
Personas ocupadas;Edad: De 45 a 54 años;Personas que su trabajo principal no le permite teletrabajar;64,7
Personas ocupadas;Edad: De 55 a 64 años;Total;3.404.104
Personas ocupadas;Edad: De 55 a 64 años;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente;33,5
Personas ocupadas;Edad: De 55 a 64 años;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y han teletrabajado;15,6
Personas ocupadas;Edad: De 55 a 64 años;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y no han teletrabajado;17,9
Personas ocupadas;Edad: De 55 a 64 años;Personas que su trabajo principal le permitiría teletrabajar totalmente;15,3
Personas ocupadas;Edad: De 55 a 64 años;Personas que su trabajo principal le permitiría teletrabajar totalmente y han teletrabajado;10,1
Personas ocupadas;Edad: De 55 a 64 años;Personas que su trabajo principal le permitiría teletrabajar totalmente y no han teletrabajado;5,2
Personas ocupadas;Edad: De 55 a 64 años;Personas que su trabajo principal le permitiría teletrabajar parcialmente;18,2
Personas ocupadas;Edad: De 55 a 64 años;Personas que su trabajo principal le permitiría teletrabajar parcialmente y han teletrabajado;5,4
Personas ocupadas;Edad: De 55 a 64 años;Personas que su trabajo principal le permitiría teletrabajar parcialmente y no han teletrabajado;12,7
Personas ocupadas;Edad: De 55 a 64 años;Personas que su trabajo principal no le permite teletrabajar;66,5
Personas ocupadas;Edad: De 65 a 74 años;Total;206.698
Personas ocupadas;Edad: De 65 a 74 años;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente;35,3
Personas ocupadas;Edad: De 65 a 74 años;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y han teletrabajado;17,7
Personas ocupadas;Edad: De 65 a 74 años;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y no han teletrabajado;17,7
Personas ocupadas;Edad: De 65 a 74 años;Personas que su trabajo principal le permitiría teletrabajar totalmente;18,5
Personas ocupadas;Edad: De 65 a 74 años;Personas que su trabajo principal le permitiría teletrabajar totalmente y han teletrabajado;11,5
Personas ocupadas;Edad: De 65 a 74 años;Personas que su trabajo principal le permitiría teletrabajar totalmente y no han teletrabajado;7,1
Personas ocupadas;Edad: De 65 a 74 años;Personas que su trabajo principal le permitiría teletrabajar parcialmente;16,8
Personas ocupadas;Edad: De 65 a 74 años;Personas que su trabajo principal le permitiría teletrabajar parcialmente y han teletrabajado;6,2
Personas ocupadas;Edad: De 65 a 74 años;Personas que su trabajo principal le permitiría teletrabajar parcialmente y no han teletrabajado;10,6
Personas ocupadas;Edad: De 65 a 74 años;Personas que su trabajo principal no le permite teletrabajar;64,7
Personas ocupadas;Hábitat: De 100.000 y más habitantes y capitales de provincia;Total;7.719.501
Personas ocupadas;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente;44,5
Personas ocupadas;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y han teletrabajado;23,9
Personas ocupadas;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y no han teletrabajado;20,6
Personas ocupadas;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que su trabajo principal le permitiría teletrabajar totalmente;23,8
Personas ocupadas;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que su trabajo principal le permitiría teletrabajar totalmente y han teletrabajado;17,1
Personas ocupadas;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que su trabajo principal le permitiría teletrabajar totalmente y no han teletrabajado;6,7
Personas ocupadas;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que su trabajo principal le permitiría teletrabajar parcialmente;20,7
Personas ocupadas;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que su trabajo principal le permitiría teletrabajar parcialmente y han teletrabajado;6,8
Personas ocupadas;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que su trabajo principal le permitiría teletrabajar parcialmente y no han teletrabajado;13,9
Personas ocupadas;Hábitat: De 100.000 y más habitantes y capitales de provincia;Personas que su trabajo principal no le permite teletrabajar;55,5
Personas ocupadas;Hábitat: De 20.000 a menos de 100.000 habitantes;Total;5.189.555
Personas ocupadas;Hábitat: De 20.000 a menos de 100.000 habitantes;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente;30,4
Personas ocupadas;Hábitat: De 20.000 a menos de 100.000 habitantes;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y han teletrabajado;15,7
Personas ocupadas;Hábitat: De 20.000 a menos de 100.000 habitantes;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y no han teletrabajado;14,7
Personas ocupadas;Hábitat: De 20.000 a menos de 100.000 habitantes;Personas que su trabajo principal le permitiría teletrabajar totalmente;15,3
Personas ocupadas;Hábitat: De 20.000 a menos de 100.000 habitantes;Personas que su trabajo principal le permitiría teletrabajar totalmente y han teletrabajado;10,5
Personas ocupadas;Hábitat: De 20.000 a menos de 100.000 habitantes;Personas que su trabajo principal le permitiría teletrabajar totalmente y no han teletrabajado;4,8
Personas ocupadas;Hábitat: De 20.000 a menos de 100.000 habitantes;Personas que su trabajo principal le permitiría teletrabajar parcialmente;15,2
Personas ocupadas;Hábitat: De 20.000 a menos de 100.000 habitantes;Personas que su trabajo principal le permitiría teletrabajar parcialmente y han teletrabajado;5,3
Personas ocupadas;Hábitat: De 20.000 a menos de 100.000 habitantes;Personas que su trabajo principal le permitiría teletrabajar parcialmente y no han teletrabajado;9,9
Personas ocupadas;Hábitat: De 20.000 a menos de 100.000 habitantes;Personas que su trabajo principal no le permite teletrabajar;69,6
Personas ocupadas;Hábitat: Menos de 20.000 habitantes;Total;5.794.272
Personas ocupadas;Hábitat: Menos de 20.000 habitantes;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente;26,4
Personas ocupadas;Hábitat: Menos de 20.000 habitantes;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y han teletrabajado;10,7
Personas ocupadas;Hábitat: Menos de 20.000 habitantes;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y no han teletrabajado;15,7
Personas ocupadas;Hábitat: Menos de 20.000 habitantes;Personas que su trabajo principal le permitiría teletrabajar totalmente;11,6
Personas ocupadas;Hábitat: Menos de 20.000 habitantes;Personas que su trabajo principal le permitiría teletrabajar totalmente y han teletrabajado;7,3
Personas ocupadas;Hábitat: Menos de 20.000 habitantes;Personas que su trabajo principal le permitiría teletrabajar totalmente y no han teletrabajado;4,3
Personas ocupadas;Hábitat: Menos de 20.000 habitantes;Personas que su trabajo principal le permitiría teletrabajar parcialmente;14,8
Personas ocupadas;Hábitat: Menos de 20.000 habitantes;Personas que su trabajo principal le permitiría teletrabajar parcialmente y han teletrabajado;3,4
Personas ocupadas;Hábitat: Menos de 20.000 habitantes;Personas que su trabajo principal le permitiría teletrabajar parcialmente y no han teletrabajado;11,4
Personas ocupadas;Hábitat: Menos de 20.000 habitantes;Personas que su trabajo principal no le permite teletrabajar;73,6
Personas ocupadas;Tamaño del hogar: Hogares de 1 miembro;Total;1.920.194
Personas ocupadas;Tamaño del hogar: Hogares de 1 miembro;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente;37,2
Personas ocupadas;Tamaño del hogar: Hogares de 1 miembro;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y han teletrabajado;17,5
Personas ocupadas;Tamaño del hogar: Hogares de 1 miembro;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y no han teletrabajado;19,7
Personas ocupadas;Tamaño del hogar: Hogares de 1 miembro;Personas que su trabajo principal le permitiría teletrabajar totalmente;18,3
Personas ocupadas;Tamaño del hogar: Hogares de 1 miembro;Personas que su trabajo principal le permitiría teletrabajar totalmente y han teletrabajado;13
Personas ocupadas;Tamaño del hogar: Hogares de 1 miembro;Personas que su trabajo principal le permitiría teletrabajar totalmente y no han teletrabajado;5,3
Personas ocupadas;Tamaño del hogar: Hogares de 1 miembro;Personas que su trabajo principal le permitiría teletrabajar parcialmente;18,9
Personas ocupadas;Tamaño del hogar: Hogares de 1 miembro;Personas que su trabajo principal le permitiría teletrabajar parcialmente y han teletrabajado;4,5
Personas ocupadas;Tamaño del hogar: Hogares de 1 miembro;Personas que su trabajo principal le permitiría teletrabajar parcialmente y no han teletrabajado;14,4
Personas ocupadas;Tamaño del hogar: Hogares de 1 miembro;Personas que su trabajo principal no le permite teletrabajar;62,8
Personas ocupadas;Tamaño del hogar: Hogares de 2 miembros;Total;4.166.094
Personas ocupadas;Tamaño del hogar: Hogares de 2 miembros;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente;35,3
Personas ocupadas;Tamaño del hogar: Hogares de 2 miembros;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y han teletrabajado;19,1
Personas ocupadas;Tamaño del hogar: Hogares de 2 miembros;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y no han teletrabajado;16,1
Personas ocupadas;Tamaño del hogar: Hogares de 2 miembros;Personas que su trabajo principal le permitiría teletrabajar totalmente;18,4
Personas ocupadas;Tamaño del hogar: Hogares de 2 miembros;Personas que su trabajo principal le permitiría teletrabajar totalmente y han teletrabajado;13,3
Personas ocupadas;Tamaño del hogar: Hogares de 2 miembros;Personas que su trabajo principal le permitiría teletrabajar totalmente y no han teletrabajado;5
Personas ocupadas;Tamaño del hogar: Hogares de 2 miembros;Personas que su trabajo principal le permitiría teletrabajar parcialmente;16,9
Personas ocupadas;Tamaño del hogar: Hogares de 2 miembros;Personas que su trabajo principal le permitiría teletrabajar parcialmente y han teletrabajado;5,8
Personas ocupadas;Tamaño del hogar: Hogares de 2 miembros;Personas que su trabajo principal le permitiría teletrabajar parcialmente y no han teletrabajado;11,1
Personas ocupadas;Tamaño del hogar: Hogares de 2 miembros;Personas que su trabajo principal no le permite teletrabajar;64,7
Personas ocupadas;Tamaño del hogar: Hogares de 3 miembros;Total;5.473.782
Personas ocupadas;Tamaño del hogar: Hogares de 3 miembros;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente;32,2
Personas ocupadas;Tamaño del hogar: Hogares de 3 miembros;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y han teletrabajado;16,9
Personas ocupadas;Tamaño del hogar: Hogares de 3 miembros;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y no han teletrabajado;15,3
Personas ocupadas;Tamaño del hogar: Hogares de 3 miembros;Personas que su trabajo principal le permitiría teletrabajar totalmente;17,5
Personas ocupadas;Tamaño del hogar: Hogares de 3 miembros;Personas que su trabajo principal le permitiría teletrabajar totalmente y han teletrabajado;12
Personas ocupadas;Tamaño del hogar: Hogares de 3 miembros;Personas que su trabajo principal le permitiría teletrabajar totalmente y no han teletrabajado;5,5
Personas ocupadas;Tamaño del hogar: Hogares de 3 miembros;Personas que su trabajo principal le permitiría teletrabajar parcialmente;14,7
Personas ocupadas;Tamaño del hogar: Hogares de 3 miembros;Personas que su trabajo principal le permitiría teletrabajar parcialmente y han teletrabajado;4,9
Personas ocupadas;Tamaño del hogar: Hogares de 3 miembros;Personas que su trabajo principal le permitiría teletrabajar parcialmente y no han teletrabajado;9,8
Personas ocupadas;Tamaño del hogar: Hogares de 3 miembros;Personas que su trabajo principal no le permite teletrabajar;67,8
Personas ocupadas;Tamaño del hogar: Hogares de 4 o más  miembros;Total;7.143.259
Personas ocupadas;Tamaño del hogar: Hogares de 4 o más  miembros;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente;36,4
Personas ocupadas;Tamaño del hogar: Hogares de 4 o más  miembros;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y han teletrabajado;17,1
Personas ocupadas;Tamaño del hogar: Hogares de 4 o más  miembros;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y no han teletrabajado;19,3
Personas ocupadas;Tamaño del hogar: Hogares de 4 o más  miembros;Personas que su trabajo principal le permitiría teletrabajar totalmente;17,2
Personas ocupadas;Tamaño del hogar: Hogares de 4 o más  miembros;Personas que su trabajo principal le permitiría teletrabajar totalmente y han teletrabajado;11,5
Personas ocupadas;Tamaño del hogar: Hogares de 4 o más  miembros;Personas que su trabajo principal le permitiría teletrabajar totalmente y no han teletrabajado;5,7
Personas ocupadas;Tamaño del hogar: Hogares de 4 o más  miembros;Personas que su trabajo principal le permitiría teletrabajar parcialmente;19,1
Personas ocupadas;Tamaño del hogar: Hogares de 4 o más  miembros;Personas que su trabajo principal le permitiría teletrabajar parcialmente y han teletrabajado;5,6
Personas ocupadas;Tamaño del hogar: Hogares de 4 o más  miembros;Personas que su trabajo principal le permitiría teletrabajar parcialmente y no han teletrabajado;13,6
Personas ocupadas;Tamaño del hogar: Hogares de 4 o más  miembros;Personas que su trabajo principal no le permite teletrabajar;63,6
Personas ocupadas;Tipo de hogar: Hogar unipersonal;Total;1.920.194
Personas ocupadas;Tipo de hogar: Hogar unipersonal;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente;37,2
Personas ocupadas;Tipo de hogar: Hogar unipersonal;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y han teletrabajado;17,5
Personas ocupadas;Tipo de hogar: Hogar unipersonal;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y no han teletrabajado;19,7
Personas ocupadas;Tipo de hogar: Hogar unipersonal;Personas que su trabajo principal le permitiría teletrabajar totalmente;18,3
Personas ocupadas;Tipo de hogar: Hogar unipersonal;Personas que su trabajo principal le permitiría teletrabajar totalmente y han teletrabajado;13
Personas ocupadas;Tipo de hogar: Hogar unipersonal;Personas que su trabajo principal le permitiría teletrabajar totalmente y no han teletrabajado;5,3
Personas ocupadas;Tipo de hogar: Hogar unipersonal;Personas que su trabajo principal le permitiría teletrabajar parcialmente;18,9
Personas ocupadas;Tipo de hogar: Hogar unipersonal;Personas que su trabajo principal le permitiría teletrabajar parcialmente y han teletrabajado;4,5
Personas ocupadas;Tipo de hogar: Hogar unipersonal;Personas que su trabajo principal le permitiría teletrabajar parcialmente y no han teletrabajado;14,4
Personas ocupadas;Tipo de hogar: Hogar unipersonal;Personas que su trabajo principal no le permite teletrabajar;62,8
Personas ocupadas;Tipo de hogar: Padre o madre solo/a que conviva con algún hijo;Total;2.190.619
Personas ocupadas;Tipo de hogar: Padre o madre solo/a que conviva con algún hijo;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente;30,8
Personas ocupadas;Tipo de hogar: Padre o madre solo/a que conviva con algún hijo;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y han teletrabajado;14,5
Personas ocupadas;Tipo de hogar: Padre o madre solo/a que conviva con algún hijo;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y no han teletrabajado;16,3
Personas ocupadas;Tipo de hogar: Padre o madre solo/a que conviva con algún hijo;Personas que su trabajo principal le permitiría teletrabajar totalmente;17,2
Personas ocupadas;Tipo de hogar: Padre o madre solo/a que conviva con algún hijo;Personas que su trabajo principal le permitiría teletrabajar totalmente y han teletrabajado;10,2
Personas ocupadas;Tipo de hogar: Padre o madre solo/a que conviva con algún hijo;Personas que su trabajo principal le permitiría teletrabajar totalmente y no han teletrabajado;7
Personas ocupadas;Tipo de hogar: Padre o madre solo/a que conviva con algún hijo;Personas que su trabajo principal le permitiría teletrabajar parcialmente;13,7
Personas ocupadas;Tipo de hogar: Padre o madre solo/a que conviva con algún hijo;Personas que su trabajo principal le permitiría teletrabajar parcialmente y han teletrabajado;4,4
Personas ocupadas;Tipo de hogar: Padre o madre solo/a que conviva con algún hijo;Personas que su trabajo principal le permitiría teletrabajar parcialmente y no han teletrabajado;9,3
Personas ocupadas;Tipo de hogar: Padre o madre solo/a que conviva con algún hijo;Personas que su trabajo principal no le permite teletrabajar;69,2
Personas ocupadas;Tipo de hogar: Pareja sin hijos que convivan en el hogar;Total;2.554.860
Personas ocupadas;Tipo de hogar: Pareja sin hijos que convivan en el hogar;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente;37,7
Personas ocupadas;Tipo de hogar: Pareja sin hijos que convivan en el hogar;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y han teletrabajado;20,9
Personas ocupadas;Tipo de hogar: Pareja sin hijos que convivan en el hogar;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y no han teletrabajado;16,8
Personas ocupadas;Tipo de hogar: Pareja sin hijos que convivan en el hogar;Personas que su trabajo principal le permitiría teletrabajar totalmente;18,7
Personas ocupadas;Tipo de hogar: Pareja sin hijos que convivan en el hogar;Personas que su trabajo principal le permitiría teletrabajar totalmente y han teletrabajado;14,3
Personas ocupadas;Tipo de hogar: Pareja sin hijos que convivan en el hogar;Personas que su trabajo principal le permitiría teletrabajar totalmente y no han teletrabajado;4,4
Personas ocupadas;Tipo de hogar: Pareja sin hijos que convivan en el hogar;Personas que su trabajo principal le permitiría teletrabajar parcialmente;19
Personas ocupadas;Tipo de hogar: Pareja sin hijos que convivan en el hogar;Personas que su trabajo principal le permitiría teletrabajar parcialmente y han teletrabajado;6,6
Personas ocupadas;Tipo de hogar: Pareja sin hijos que convivan en el hogar;Personas que su trabajo principal le permitiría teletrabajar parcialmente y no han teletrabajado;12,4
Personas ocupadas;Tipo de hogar: Pareja sin hijos que convivan en el hogar;Personas que su trabajo principal no le permite teletrabajar;62,3
Personas ocupadas;Tipo de hogar: Pareja con hijos que convivan en el hogar;Total;10.233.300
Personas ocupadas;Tipo de hogar: Pareja con hijos que convivan en el hogar;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente;36,2
Personas ocupadas;Tipo de hogar: Pareja con hijos que convivan en el hogar;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y han teletrabajado;18,1
Personas ocupadas;Tipo de hogar: Pareja con hijos que convivan en el hogar;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y no han teletrabajado;18,1
Personas ocupadas;Tipo de hogar: Pareja con hijos que convivan en el hogar;Personas que su trabajo principal le permitiría teletrabajar totalmente;18,1
Personas ocupadas;Tipo de hogar: Pareja con hijos que convivan en el hogar;Personas que su trabajo principal le permitiría teletrabajar totalmente y han teletrabajado;12,6
Personas ocupadas;Tipo de hogar: Pareja con hijos que convivan en el hogar;Personas que su trabajo principal le permitiría teletrabajar totalmente y no han teletrabajado;5,5
Personas ocupadas;Tipo de hogar: Pareja con hijos que convivan en el hogar;Personas que su trabajo principal le permitiría teletrabajar parcialmente;18,1
Personas ocupadas;Tipo de hogar: Pareja con hijos que convivan en el hogar;Personas que su trabajo principal le permitiría teletrabajar parcialmente y han teletrabajado;5,6
Personas ocupadas;Tipo de hogar: Pareja con hijos que convivan en el hogar;Personas que su trabajo principal le permitiría teletrabajar parcialmente y no han teletrabajado;12,5
Personas ocupadas;Tipo de hogar: Pareja con hijos que convivan en el hogar;Personas que su trabajo principal no le permite teletrabajar;63,8
Personas ocupadas;Tipo de hogar: Otro tipo de hogar;Total;1.804.356
Personas ocupadas;Tipo de hogar: Otro tipo de hogar;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente;27
Personas ocupadas;Tipo de hogar: Otro tipo de hogar;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y han teletrabajado;13,4
Personas ocupadas;Tipo de hogar: Otro tipo de hogar;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y no han teletrabajado;13,7
