Comunidades y ciudades autónomas;Principales variables;Agrupación de actividad;Total
Andalucía;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Total Empresas;29,85
Andalucía;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Industria;23,92
Andalucía;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Construcción;21,62
Andalucía;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Servicios;35,37
Andalucía;D.13 % de empleados que teletrabajan regularmente(3);Total Empresas;10,47
Andalucía;D.13 % de empleados que teletrabajan regularmente(3);Industria;5,81
Andalucía;D.13 % de empleados que teletrabajan regularmente(3);Construcción;4,18
Andalucía;D.13 % de empleados que teletrabajan regularmente(3);Servicios;13,57
Andalucía;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Total Empresas;2,33
Andalucía;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Industria;2,64
Andalucía;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Construcción;1,99
Andalucía;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Servicios;2,32
Aragón;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Total Empresas;86,09
Aragón;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Industria;85,15
Aragón;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Construcción;92,9
Aragón;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Servicios;84,81
Aragón;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Total Empresas;72,61
Aragón;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Industria;66,38
Aragón;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Construcción;75,56
Aragón;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Servicios;75,67
Aragón;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Total Empresas;65,38
Aragón;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Industria;66,57
Aragón;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Construcción;60,99
Aragón;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Servicios;65,84
Aragón;D.11 % de empresas que llevan a cabo reuniones remotas (1);Total Empresas;60,85
Aragón;D.11 % de empresas que llevan a cabo reuniones remotas (1);Industria;61,43
Aragón;D.11 % de empresas que llevan a cabo reuniones remotas (1);Construcción;49,04
Aragón;D.11 % de empresas que llevan a cabo reuniones remotas (1);Servicios;63,74
Aragón;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Total Empresas;35,51
Aragón;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Industria;32,31
Aragón;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Construcción;29,01
Aragón;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Servicios;39,25
Aragón;D.13 % de empleados que teletrabajan regularmente(3);Total Empresas;10,22
Aragón;D.13 % de empleados que teletrabajan regularmente(3);Industria;7,71
Aragón;D.13 % de empleados que teletrabajan regularmente(3);Construcción;1,92
Aragón;D.13 % de empleados que teletrabajan regularmente(3);Servicios;14,3
Aragón;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Total Empresas;2,26
Aragón;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Industria;1,96
Aragón;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Construcción;1,5
Aragón;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Servicios;2,56
Asturias, Principado de;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Total Empresas;85,32
Asturias, Principado de;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Industria;87,66
Asturias, Principado de;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Construcción;86,83
Asturias, Principado de;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Servicios;83,61
Asturias, Principado de;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Total Empresas;70,16
Asturias, Principado de;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Industria;67,97
Asturias, Principado de;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Construcción;68,91
Asturias, Principado de;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Servicios;71,71
Asturias, Principado de;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Total Empresas;64,36
Asturias, Principado de;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Industria;65,01
Asturias, Principado de;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Construcción;62,94
Asturias, Principado de;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Servicios;64,44
Asturias, Principado de;D.11 % de empresas que llevan a cabo reuniones remotas (1);Total Empresas;54,1
Asturias, Principado de;D.11 % de empresas que llevan a cabo reuniones remotas (1);Industria;62,09
Asturias, Principado de;D.11 % de empresas que llevan a cabo reuniones remotas (1);Construcción;50,42
Asturias, Principado de;D.11 % de empresas que llevan a cabo reuniones remotas (1);Servicios;50,98
Asturias, Principado de;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Total Empresas;26,91
Asturias, Principado de;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Industria;27,48
Asturias, Principado de;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Construcción;28,51
Asturias, Principado de;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Servicios;26,15
Asturias, Principado de;D.13 % de empleados que teletrabajan regularmente(3);Total Empresas;10,34
Asturias, Principado de;D.13 % de empleados que teletrabajan regularmente(3);Industria;7,45
Asturias, Principado de;D.13 % de empleados que teletrabajan regularmente(3);Construcción;9,4
Asturias, Principado de;D.13 % de empleados que teletrabajan regularmente(3);Servicios;12,73
Asturias, Principado de;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Total Empresas;2,23
Asturias, Principado de;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Industria;1,93
Asturias, Principado de;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Construcción;1,63
Asturias, Principado de;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Servicios;2,57
Balears, Illes;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Total Empresas;86,17
Balears, Illes;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Industria;86,55
Balears, Illes;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Construcción;86,21
Balears, Illes;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Servicios;86,06
Balears, Illes;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Total Empresas;74,24
Balears, Illes;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Industria;73,76
Balears, Illes;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Construcción;75,95
Balears, Illes;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Servicios;73,6
Balears, Illes;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Total Empresas;62,08
Balears, Illes;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Industria;70,48
Balears, Illes;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Construcción;47,35
Balears, Illes;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Servicios;66,49
Balears, Illes;D.11 % de empresas que llevan a cabo reuniones remotas (1);Total Empresas;51,51
Balears, Illes;D.11 % de empresas que llevan a cabo reuniones remotas (1);Industria;41,18
Balears, Illes;D.11 % de empresas que llevan a cabo reuniones remotas (1);Construcción;38,28
Balears, Illes;D.11 % de empresas que llevan a cabo reuniones remotas (1);Servicios;59,83
Balears, Illes;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Total Empresas;28,05
Balears, Illes;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Industria;21,43
Balears, Illes;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Construcción;16,53
Balears, Illes;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Servicios;34,88
Balears, Illes;D.13 % de empleados que teletrabajan regularmente(3);Total Empresas;13,09
Balears, Illes;D.13 % de empleados que teletrabajan regularmente(3);Industria;3,75
Balears, Illes;D.13 % de empleados que teletrabajan regularmente(3);Construcción;2,03
Balears, Illes;D.13 % de empleados que teletrabajan regularmente(3);Servicios;15,92
Balears, Illes;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Total Empresas;2,3
Balears, Illes;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Industria;2,05
Balears, Illes;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Construcción;1,84
Balears, Illes;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Servicios;2,44
Canarias;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Total Empresas;81
Canarias;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Industria;80,9
Canarias;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Construcción;78,26
Canarias;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Servicios;81,79
Canarias;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Total Empresas;67,06
Canarias;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Industria;66,58
Canarias;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Construcción;66,83
Canarias;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Servicios;67,21
Canarias;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Total Empresas;58,85
Canarias;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Industria;60,08
Canarias;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Construcción;45,41
Canarias;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Servicios;62,41
Canarias;D.11 % de empresas que llevan a cabo reuniones remotas (1);Total Empresas;42,96
Canarias;D.11 % de empresas que llevan a cabo reuniones remotas (1);Industria;35,98
Canarias;D.11 % de empresas que llevan a cabo reuniones remotas (1);Construcción;39,44
Canarias;D.11 % de empresas que llevan a cabo reuniones remotas (1);Servicios;45,2
Canarias;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Total Empresas;25,57
Canarias;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Industria;14,34
Canarias;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Construcción;27,07
Canarias;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Servicios;27,13
Canarias;D.13 % de empleados que teletrabajan regularmente(3);Total Empresas;5,05
Canarias;D.13 % de empleados que teletrabajan regularmente(3);Industria;2,19
Canarias;D.13 % de empleados que teletrabajan regularmente(3);Construcción;2,71
Canarias;D.13 % de empleados que teletrabajan regularmente(3);Servicios;5,67
Canarias;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Total Empresas;2,57
Canarias;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Industria;1,97
Canarias;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Construcción;3,22
Canarias;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Servicios;2,44
Cantabria;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Total Empresas;85,02
Cantabria;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Industria;92,29
Cantabria;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Construcción;88,19
Cantabria;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Servicios;79,4
Cantabria;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Total Empresas;73,09
Cantabria;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Industria;76,15
Cantabria;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Construcción;84,92
Cantabria;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Servicios;67,51
Cantabria;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Total Empresas;61,47
Cantabria;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Industria;64,01
Cantabria;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Construcción;67,06
Cantabria;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Servicios;58,12
Cantabria;D.11 % de empresas que llevan a cabo reuniones remotas (1);Total Empresas;49,89
Cantabria;D.11 % de empresas que llevan a cabo reuniones remotas (1);Industria;64,45
Cantabria;D.11 % de empresas que llevan a cabo reuniones remotas (1);Construcción;35,15
Cantabria;D.11 % de empresas que llevan a cabo reuniones remotas (1);Servicios;45,09
Cantabria;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Total Empresas;29,79
Cantabria;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Industria;32,22
Cantabria;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Construcción;22,1
Cantabria;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Servicios;30,62
Cantabria;D.13 % de empleados que teletrabajan regularmente(3);Total Empresas;8,42
Cantabria;D.13 % de empleados que teletrabajan regularmente(3);Industria;8,72
Cantabria;D.13 % de empleados que teletrabajan regularmente(3);Construcción;5,48
Cantabria;D.13 % de empleados que teletrabajan regularmente(3);Servicios;8,7
Cantabria;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Total Empresas;2,36
Cantabria;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Industria;2,66
Cantabria;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Construcción;2,29
Cantabria;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Servicios;2,17
Castilla y León;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Total Empresas;83,88
Castilla y León;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Industria;86,35
Castilla y León;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Construcción;88,82
Castilla y León;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Servicios;80,99
Castilla y León;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Total Empresas;74,27
Castilla y León;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Industria;70,57
Castilla y León;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Construcción;77,44
Castilla y León;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Servicios;75,48
Castilla y León;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Total Empresas;62,47
Castilla y León;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Industria;60,06
Castilla y León;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Construcción;56,16
Castilla y León;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Servicios;65,74
Castilla y León;D.11 % de empresas que llevan a cabo reuniones remotas (1);Total Empresas;51,79
Castilla y León;D.11 % de empresas que llevan a cabo reuniones remotas (1);Industria;56,35
Castilla y León;D.11 % de empresas que llevan a cabo reuniones remotas (1);Construcción;51,42
Castilla y León;D.11 % de empresas que llevan a cabo reuniones remotas (1);Servicios;49,24
Castilla y León;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Total Empresas;27,69
Castilla y León;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Industria;33,75
Castilla y León;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Construcción;14,01
Castilla y León;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Servicios;28,35
Castilla y León;D.13 % de empleados que teletrabajan regularmente(3);Total Empresas;8,37
Castilla y León;D.13 % de empleados que teletrabajan regularmente(3);Industria;6,48
Castilla y León;D.13 % de empleados que teletrabajan regularmente(3);Construcción;5,39
Castilla y León;D.13 % de empleados que teletrabajan regularmente(3);Servicios;10,96
Castilla y León;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Total Empresas;2,75
Castilla y León;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Industria;2,52
Castilla y León;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Construcción;3,98
Castilla y León;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Servicios;2,71
Castilla-La Mancha;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Total Empresas;81,22
Castilla-La Mancha;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Industria;80,49
Castilla-La Mancha;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Construcción;80,14
Castilla-La Mancha;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Servicios;82,23
Castilla-La Mancha;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Total Empresas;63,92
Castilla-La Mancha;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Industria;64,38
Castilla-La Mancha;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Construcción;58,28
Castilla-La Mancha;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Servicios;65,91
Castilla-La Mancha;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Total Empresas;57,19
Castilla-La Mancha;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Industria;59,42
Castilla-La Mancha;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Construcción;38,76
Castilla-La Mancha;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Servicios;63,16
Castilla-La Mancha;D.11 % de empresas que llevan a cabo reuniones remotas (1);Total Empresas;47,44
Castilla-La Mancha;D.11 % de empresas que llevan a cabo reuniones remotas (1);Industria;49,24
Castilla-La Mancha;D.11 % de empresas que llevan a cabo reuniones remotas (1);Construcción;35,38
Castilla-La Mancha;D.11 % de empresas que llevan a cabo reuniones remotas (1);Servicios;51,08
Castilla-La Mancha;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Total Empresas;24,12
Castilla-La Mancha;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Industria;23,92
Castilla-La Mancha;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Construcción;16,36
Castilla-La Mancha;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Servicios;27,58
Castilla-La Mancha;D.13 % de empleados que teletrabajan regularmente(3);Total Empresas;5,95
Castilla-La Mancha;D.13 % de empleados que teletrabajan regularmente(3);Industria;5,02
Castilla-La Mancha;D.13 % de empleados que teletrabajan regularmente(3);Construcción;2,8
Castilla-La Mancha;D.13 % de empleados que teletrabajan regularmente(3);Servicios;7,93
Castilla-La Mancha;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Total Empresas;2,43
Castilla-La Mancha;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Industria;2,06
Castilla-La Mancha;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Construcción;2,89
Castilla-La Mancha;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Servicios;2,56
Cataluña;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Total Empresas;91,14
Cataluña;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Industria;89,53
Cataluña;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Construcción;88
Cataluña;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Servicios;92,46
Cataluña;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Total Empresas;82,14
Cataluña;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Industria;80,4
Cataluña;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Construcción;74,31
Cataluña;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Servicios;84,45
Cataluña;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Total Empresas;73,78
